doi,cleaned_feature
10.23919/EuMC.2019.8910706,program th european microwave conference eumc institute electrical electronics engineer ieee
10.1103/PhysRevLett.123.243401,collective multimode vacuum rabi splitting physical letter american physical society aps
10.1103/PhysRevLett.123.231102,new test lorentz invariance using microscope space mission physical letter american physical society aps
10.26615/978-954-452-056-4_039,comparing automated method detect explicit content song lyric proceeding natural language processing deep learning world assoc computational linguistics bulgaria
10.23919/EuMIC.2019.8909460,eumic programme th european microwave integrated circuit conference eumic institute electrical electronics engineer ieee
10.1109/IPIN.2019.8911777,e loc enhanced csi fingerprinting localization massive machine type communication wi fi ambient connectivity international conference indoor positioning indoor navigation ipin institute electrical electronics engineer ieee
10.1103/PhysRevD.100.104036,test general relativity binary black hole signal ligo virgo catalog gwtc physical american physical society aps
10.1103/PhysRevA.100.063845,anderson localization light dimension physical american physical society aps
10.11607/jomi.7670,implant placement performed surgical time orbital exenteration viable procedure international oral maxillofacial implant quintessence publishing
10.1142/S1793351X19400221,learning based adaptive management qos energy mobile robotic mission international semantic computing world scientific pub co pte ltd
10.1109/BIOCAS.2019.8919163,live demostration sensor fusion using emg vision hand gesture classification mobile application ieee biomedical circuit system conference biocas institute electrical electronics engineer ieee
10.7554/eLife.49708,gc content shape mrna storage decay human cell elife elife science publication ltd
10.1017/S1743921318003885,using gaia measure atmospheric dynamic agb star proceeding international astronomical union cambridge university press cup
10.1109/TASE.2019.00-23,logical approach schedulability analysis ccsl international symposium theoretical aspect software engineering tase institute electrical electronics engineer ieee
10.1137/19M1254386,multilane macroscopic traffic flow model simple network siam applied mathematics society industrial applied mathematics siam
10.1103/PhysRevLett.123.227401,voigt exceptional point anisotropic zno based planar microcavity square root topology polarization vortex circularity physical letter american physical society aps
10.1109/JMMCT.2019.2962087,comment high order whitney complex simplices ieee multiscale multiphysics computational technique institute electrical electronics engineer ieee
10.1017/S1743921319002138,unveiling whole part see forest tree proceeding international astronomical union cambridge university press cup
10.1109/BIOCAS.2019.8919084,synchronous approach modeling spiking neuron ieee biomedical circuit system conference biocas institute electrical electronics engineer ieee
10.1103/PhysRevA.100.063608,scaling property tan contact embedding pair correlation effect tonks girardeau limit physical american physical society aps
10.1109/JQE.2019.2943477,efficient tm liyf sub sub laser sim mu effect energy transfer upconversion ieee quantum electronics institute electrical electronics engineer ieee
10.1074/jbc.RA119.010612,selectivity filter instability dominates low intrinsic activity twik k p k channel biological chemistry american society biochemistry molecular biology asbmb
10.1109/TSP.2019.2955860,lda via l pca whitened data ieee transaction signal processing institute electrical electronics engineer ieee
10.12693/APhysPolA.136.790,microwave limiter implemented coupled dielectric resonator based topological defect mode ct symmetry breaking acta physica polonica institute physic polish academy science
10.35812/CelluloseChemTechnol.2019.53.94,biorefinery product bioresins thermosets based humin epoxidized linseed oil cellulose chemistry technology institutul chimie macromoleculara petru poni
10.1109/BIOCAS.2019.8919210,sensor fusion using emg vision hand gesture classification mobile application ieee biomedical circuit system conference biocas institute electrical electronics engineer ieee
10.1017/S1743921318007354,looking new water fountain star proceeding international astronomical union cambridge university press cup
10.1364/PRJ.8.000008,lithium niobate waveguide high index contrast preserved nonlinearity fabricated high vacuum vapor phase proton exchange photonics research optical society
10.1109/MASCOTS.2019.00016,closer new design principle privileged virtual machine o ieee th international symposium modeling analysis simulation computer telecommunication system mascot institute electrical electronics engineer ieee
10.1109/MASCOTS.2019.00022,disaster resilient cloud service provisioning elastic optical inter data center network ieee th international symposium modeling analysis simulation computer telecommunication system mascot institute electrical electronics engineer ieee
10.1364/OL.380712,phase pulse shaper multi octave light source optic letter optical society
10.1103/PhysRevLett.123.260404,quantum neuromorphic platform quantum state preparation physical letter american physical society aps
10.1017/S1743921318007378,constraining convection across agb high angular resolution observation proceeding international astronomical union cambridge university press cup
